Address,Comment
0192.168.0.1,Leading zero not allowed
0xc0.0xa8.0x00.0x01,Hexadecimal representation not allowed
1....2,Multiple consecutive dots between octets not allowed
10.0.0.0.1,Extra octet included, only four octets allowed
10.0.1.-2,Negative numbers are not allowed
10.256.31.15,The second octet exceeds the maximum value of 255
1000.2000.3000.4000,All octets exceed the maximum value of 255
127.0.0.0.1,Too many octets
127.1,Incomplete IP address, requires all four octets
192 .168.0.1,Spaces not allowed between octets
192_.168.0.1,Underscores not allowed
192..168.0.1,Double dots between octets not allowed
192.1 68.0.1,Spaces not allowed between octets
192.167.0.1,The second octet should be 168, not 167
192.168._.1,Underscores not allowed
192.168.0,Incomplete IP address, requires all four octets
192.168.0.-1,Negative values not allowed in octets
192.168.0.0/16,CIDR notation is not a valid IPv4 address in this context
192.168.0.0/16,This is a CIDR notation and cannot be used as an IP address
192.168.0.0001,Leading zeroes not allowed
192.168.0.01,Leading zeroes not allowed
192.168.0.1:80,Port number should not be included in the IP address
192.168.0.1/30/24,Too many CIDR notation prefixes specified
192.168.0.200.5,Too many octets
192.168.0.256,Octet value exceeds the maximum value of 255
192.168.0.555,The last octet exceeds the maximum value of 255
192.168.00.1,Leading zeroes not allowed
192.168.01.01,Leading zeroes not allowed
192.168.01.1,Leading zeroes are not allowed in individual octets
192.168.1,Incomplete Octets
192.168.1.256,The last octet exceeds the maximum value of 255
192.168.256.1,Octet value exceeds 255
192.260.1.1,The second octet exceeds the maximum value of 255
192.768.0.1,The second octet exceeds the maximum value of 255
20..200.2,Double dots between octets not allowed
2001:DB8::1,IPv6 address format is used instead of IPv4
2001:db8:85a3:0:0:8a2e:370:7334,This is an IPv6 address format, not IPv4
203.2.113,Incomplete IP address, requires all four octets
204.512.3.4,The second octet exceeds the maximum value of 255
23.055.207.2,Leading zero present
255.255.255.255,Reserved IP address for broadcast use, typically not assigned to devices
256.0.0.0,The first octet exceeds the maximum value of 255
256.168.0.1,Octet value exceeds 255
280.100.63.16,The first octet exceeds the maximum value of 255
289.007.1.2,The first octet exceeds the maximum value of 255 and leading zero present
300.168.0.1,Octet value exceeds 255
300.168.1.1,The first octet exceeds the maximum value of 255
3627737849,This is a decimal representation of an IP address but not equivalent
4265269312,This is a decimal representation of an IP address but not equivalent
500.100.150.200,All octets exceed the maximum value of 255
850.250.200.55,All octets exceed the maximum value of 255
